,identifier,num_locations
333,magikarp,198
4,aggron,1
9,ambipom,1
14,arceus,1
15,archen,1
27,barbaracle,1
34,beheeyem,1
37,bergmite,1
43,blacephalon,1
44,blissey,1
45,blitzle,1
59,burmy,1
63,cacturne,1
71,celebi,1
74,charjabug,1
77,cherrim,1
78,chesnaught,1
79,chespin,1
90,clefable,1
95,cofagrigus,1
97,combusken,1
99,conkeldurr,1
105,cranidos,1
116,darkrai,1
121,delcatty,1
123,delphox,1
126,dewpider,1
127,dhelmise,1
129,diggersby,1
139,drampa,1
157,eelektrik,1
158,eelektross,1
166,emboar,1
170,espurr,1
173,exeggutor-alola,1
177,fennekin,1
178,ferroseed,1
190,froakie,1
203,glalie,1
211,golem,1
217,gothitelle,1
222,greninja,1
225,grotle,1
227,grovyle,1
236,hakamo-o,1
241,haxorus,1
244,heliolisk,1
245,helioptile,1
250,hitmonchan,1
251,hitmonlee,1
265,jangmo-o,1
268,joltik,1
280,klang,1
283,klinklang,1
285,komala,1
304,lickilicky,1
323,lurantis,1
326,lycanroc-midday,1
327,lycanroc-midnight,1
332,magearna,1
337,magnezone,1
339,mamoswine,1
345,maractus,1
350,marshtomp,1
358,metagross,1
361,mew,1
366,milotic,1
371,minior-red-meteor,1
376,monferno,1
383,munchlax,1
384,munna,1
386,musharna,1
395,ninetales,1
398,noivern,1
406,oranguru,1
407,oricorio-baile,1
408,oricorio-pau,1
409,oricorio-pom-pom,1
410,oricorio-sensu,1
422,passimian,1
427,persian-alola,1
433,pidgeot,1
444,poipole,1
454,prinplup,1
456,pumpkaboo-average,1
457,pumpkaboo-large,1
458,pumpkaboo-small,1
459,pumpkaboo-super,1
463,pyroar,1
483,reuniclus,1
496,salamence,1
499,samurott,1
506,sawsbuck,1
508,scolipede,1
519,serperior,1
523,shaymin-land,1
524,shelgon,1
528,shieldon,1
529,shiftry,1
530,shiinotic,1
532,shroomish,1
538,skiddo,1
544,slaking,1
568,spritzee,1
570,stakataka,1
584,sunflora,1
592,swirlix,1
594,talonflame,1
597,tapu-bulu,1
598,tapu-fini,1
599,tapu-koko,1
600,tapu-lele,1
610,tirtouga,1
612,togekiss,1
619,toxicroak,1
627,turtonator,1
629,tympole,1
632,tyranitar,1
648,victini,1
660,walrein,1
681,yamask,1
695,zygarde-10,1
