,cleaned_name
28,nidoranf
31,nidoranm
121,mrmime
249,hooh
385,deoxysnormal
412,wormadamplant
438,mimejr
473,porygonz
486,giratinaaltered
491,shayminland
549,basculinredstriped
554,darmanitanstandard
640,tornadusincarnate
641,thundurusincarnate
644,landorusincarnate
646,keldeoordinary
647,meloettaaria
677,meowsticmale
680,aegislashshield
709,pumpkabooaverage
710,gourgeistaverage
717,zygarde50
740,oricoriobaile
744,lycanrocmidday
745,wishiwashisolo
771,typenull
773,miniorredmeteor
777,mimikyudisguised
781,jangmoo
782,hakamoo
783,kommoo
784,tapukoko
785,tapulele
786,tapubulu
787,tapufini
848,toxtricityamped
865,mrrime
874,eiscueice
875,indeedeemale
876,morpekofullbelly
891,urshifusinglestrike
901,basculegionmale
904,enamorusincarnate
915,oinkolognemale
924,mausholdfamilyoffour
930,squawkabillygreenplumage
963,palafinzero
977,tatsugiricurly
981,dudunsparcetwosegment
983,greattusk
984,screamtail
985,brutebonnet
986,fluttermane
987,slitherwing
988,sandyshocks
989,irontreads
990,ironbundle
991,ironhands
992,ironjugulis
993,ironmoth
994,ironthorns
1000,wochien
1001,chienpao
1002,tinglu
1003,chiyu
1004,roaringmoon
1005,ironvaliant
1008,walkingwake
1009,ironleaves
1019,gougingfire
1020,ragingbolt
1021,ironboulder
1022,ironcrown
1025,deoxysattack
1026,deoxysdefense
1027,deoxysspeed
1028,wormadamsandy
1029,wormadamtrash
1030,shayminsky
1031,giratinaorigin
1032,rotomheat
1033,rotomwash
1034,rotomfrost
1035,rotomfan
1036,rotommow
1037,castformsunny
1038,castformrainy
1039,castformsnowy
1040,basculinbluestriped
1041,darmanitanzen
1042,meloettapirouette
1043,tornadustherian
1044,thundurustherian
1045,landorustherian
1046,kyuremblack
1047,kyuremwhite
1048,keldeoresolute
1049,meowsticfemale
1050,aegislashblade
1051,pumpkaboosmall
1052,pumpkaboolarge
1053,pumpkaboosuper
1054,gourgeistsmall
1055,gourgeistlarge
1056,gourgeistsuper
1057,venusaurmega
1058,charizardmegax
1059,charizardmegay
1060,blastoisemega
1061,alakazammega
1062,gengarmega
1063,kangaskhanmega
1064,pinsirmega
1065,gyaradosmega
1066,aerodactylmega
1067,mewtwomegax
1068,mewtwomegay
1069,ampharosmega
1070,scizormega
1071,heracrossmega
1072,houndoommega
1073,tyranitarmega
1074,blazikenmega
1075,gardevoirmega
1076,mawilemega
