id_species,identifier_species,generation_id,evolves_from_species_id,evolution_chain_id,color_id,shape_id,habitat_id,gender_rate,capture_rate,base_happiness,is_baby,hatch_counter,has_gender_differences,growth_rate_id,forms_switchable,is_legendary,is_mythical,order,conquest_order,id_gen,main_region_id,identifier_gen
1,bulbasaur,1,,1,5,8,3.0,1,45,50.0,0,20.0,0,4,0,0,0,1,,1,1,generation-i
2,ivysaur,1,1.0,1,5,8,3.0,1,45,50.0,0,20.0,0,4,0,0,0,2,,1,1,generation-i
3,venusaur,1,2.0,1,5,8,3.0,1,45,50.0,0,20.0,1,4,1,0,0,3,,1,1,generation-i
4,charmander,1,,2,8,6,4.0,1,45,50.0,0,20.0,0,4,0,0,0,4,109.0,1,1,generation-i
5,charmeleon,1,4.0,2,8,6,4.0,1,45,50.0,0,20.0,0,4,0,0,0,5,110.0,1,1,generation-i
6,charizard,1,5.0,2,8,6,4.0,1,45,50.0,0,20.0,0,4,1,0,0,6,111.0,1,1,generation-i
7,squirtle,1,,3,2,6,9.0,1,45,50.0,0,20.0,0,4,0,0,0,7,,1,1,generation-i
8,wartortle,1,7.0,3,2,6,9.0,1,45,50.0,0,20.0,0,4,0,0,0,8,,1,1,generation-i
9,blastoise,1,8.0,3,2,6,9.0,1,45,50.0,0,20.0,0,4,1,0,0,9,,1,1,generation-i
10,caterpie,1,,4,5,14,2.0,4,255,50.0,0,15.0,0,2,0,0,0,10,,1,1,generation-i
11,metapod,1,10.0,4,5,2,2.0,4,120,50.0,0,15.0,0,2,0,0,0,11,,1,1,generation-i
12,butterfree,1,11.0,4,9,13,2.0,4,45,50.0,0,15.0,1,2,0,0,0,12,,1,1,generation-i
13,weedle,1,,5,3,14,2.0,4,255,70.0,0,15.0,0,2,0,0,0,13,,1,1,generation-i
14,kakuna,1,13.0,5,10,2,2.0,4,120,70.0,0,15.0,0,2,0,0,0,14,,1,1,generation-i
15,beedrill,1,14.0,5,10,13,2.0,4,45,70.0,0,15.0,0,2,1,0,0,15,177.0,1,1,generation-i
16,pidgey,1,,6,3,9,2.0,4,255,70.0,0,15.0,0,4,0,0,0,16,,1,1,generation-i
17,pidgeotto,1,16.0,6,3,9,2.0,4,120,70.0,0,15.0,0,4,0,0,0,17,,1,1,generation-i
18,pidgeot,1,17.0,6,3,9,2.0,4,45,70.0,0,15.0,0,4,1,0,0,18,,1,1,generation-i
19,rattata,1,,7,7,8,3.0,4,255,70.0,0,15.0,1,2,0,0,0,19,,1,1,generation-i
20,raticate,1,19.0,7,3,8,3.0,4,127,70.0,0,15.0,1,2,0,0,0,20,,1,1,generation-i
21,spearow,1,,8,3,9,6.0,4,255,70.0,0,15.0,0,2,0,0,0,21,,1,1,generation-i
22,fearow,1,21.0,8,3,9,6.0,4,90,70.0,0,15.0,0,2,0,0,0,22,,1,1,generation-i
