pokemon_name,base_experience,primary_color
bulbasaur,64,green
ivysaur,142,green
venusaur,263,green
charmander,62,red
charmeleon,142,red
charizard,267,red
squirtle,63,blue
wartortle,142,blue
blastoise,265,blue
caterpie,39,green
metapod,72,green
butterfree,198,white
weedle,39,brown
kakuna,72,yellow
beedrill,178,yellow
pidgey,50,brown
pidgeotto,122,brown
pidgeot,216,brown
rattata,51,purple
raticate,145,brown
spearow,52,brown
fearow,155,brown
ekans,58,purple
arbok,157,purple
pikachu,112,yellow
raichu,243,yellow
sandshrew,60,yellow
sandslash,158,yellow
nidoran-f,55,blue
nidorina,128,blue
nidoqueen,253,blue
nidoran-m,55,purple
nidorino,128,purple
nidoking,253,purple
clefairy,113,pink
clefable,242,pink
vulpix,60,brown
ninetales,177,yellow
jigglypuff,95,pink
wigglytuff,218,pink
zubat,49,purple
golbat,159,purple
oddish,64,blue
gloom,138,blue
vileplume,245,red
paras,57,red
parasect,142,red
venonat,61,purple
venomoth,158,purple
diglett,53,brown
dugtrio,149,brown
meowth,58,yellow
persian,154,yellow
psyduck,64,yellow
golduck,175,blue
mankey,61,brown
primeape,159,brown
growlithe,70,brown
arcanine,194,brown
poliwag,60,blue
poliwhirl,135,blue
poliwrath,255,blue
abra,62,brown
kadabra,140,brown
alakazam,250,brown
machop,61,gray
machoke,142,gray
machamp,253,gray
bellsprout,60,green
weepinbell,137,green
victreebel,221,green
tentacool,67,blue
tentacruel,180,blue
geodude,60,brown
graveler,137,brown
golem,223,brown
ponyta,82,yellow
rapidash,175,yellow
slowpoke,63,pink
slowbro,172,pink
magnemite,65,gray
magneton,163,gray
farfetchd,132,brown
doduo,62,brown
dodrio,165,brown
seel,65,white
dewgong,166,white
grimer,65,purple
muk,175,purple
shellder,61,purple
cloyster,184,purple
gastly,62,purple
haunter,142,purple
gengar,250,purple
onix,77,gray
drowzee,66,yellow
hypno,169,yellow
krabby,65,red
kingler,166,red
voltorb,66,red
electrode,172,red
exeggcute,65,pink
exeggutor,186,yellow
cubone,64,brown
marowak,149,brown
hitmonlee,159,brown
hitmonchan,159,brown
lickitung,77,pink
koffing,68,purple
weezing,172,purple
rhyhorn,69,gray
rhydon,170,gray
chansey,395,pink
tangela,87,blue
kangaskhan,172,brown
horsea,59,blue
seadra,154,blue
goldeen,64,red
seaking,158,red
staryu,68,brown
starmie,182,purple
mr-mime,161,pink
scyther,100,green
jynx,159,red
electabuzz,172,yellow
magmar,173,red
pinsir,175,brown
tauros,172,brown
magikarp,40,red
gyarados,189,blue
lapras,187,blue
ditto,101,purple
eevee,65,brown
vaporeon,184,blue
jolteon,184,yellow
flareon,184,red
porygon,79,pink
omanyte,71,blue
omastar,173,blue
kabuto,71,brown
kabutops,173,brown
aerodactyl,180,purple
snorlax,189,black
articuno,290,blue
zapdos,290,yellow
moltres,290,yellow
dratini,60,blue
dragonair,147,blue
dragonite,300,brown
mewtwo,340,purple
mew,300,pink
chikorita,64,green
bayleef,142,green
meganium,236,green
cyndaquil,62,yellow
quilava,142,yellow
typhlosion,240,yellow
totodile,63,blue
croconaw,142,blue
feraligatr,239,blue
sentret,43,brown
furret,145,brown
hoothoot,52,brown
noctowl,158,brown
ledyba,53,red
ledian,137,red
spinarak,50,green
ariados,140,red
crobat,268,purple
chinchou,66,blue
lanturn,161,blue
pichu,41,yellow
cleffa,44,pink
igglybuff,42,pink
togepi,49,white
togetic,142,white
natu,64,green
xatu,165,green
mareep,56,white
flaaffy,128,pink
ampharos,230,yellow
bellossom,245,green
marill,88,blue
azumarill,210,blue
sudowoodo,144,brown
politoed,250,green
hoppip,50,pink
skiploom,119,green
jumpluff,207,blue
aipom,72,purple
sunkern,36,yellow
sunflora,149,yellow
yanma,78,red
wooper,42,blue
quagsire,151,blue
espeon,184,purple
umbreon,184,black
murkrow,81,black
slowking,172,pink
misdreavus,87,gray
unown,118,black
wobbuffet,142,blue
girafarig,159,yellow
pineco,58,gray
forretress,163,purple
dunsparce,145,yellow
gligar,86,purple
steelix,179,gray
snubbull,60,pink
granbull,158,purple
qwilfish,88,gray
scizor,175,red
shuckle,177,yellow
heracross,175,blue
sneasel,86,black
teddiursa,66,brown
ursaring,175,brown
slugma,50,red
magcargo,151,red
swinub,50,brown
piloswine,158,brown
corsola,144,pink
remoraid,60,gray
octillery,168,red
delibird,116,red
mantine,170,purple
skarmory,163,gray
houndour,66,black
houndoom,175,black
kingdra,270,blue
phanpy,66,blue
donphan,175,gray
porygon2,180,red
stantler,163,brown
smeargle,88,white
tyrogue,42,purple
hitmontop,159,brown
smoochum,61,pink
elekid,72,yellow
magby,73,red
miltank,172,pink
blissey,635,pink
raikou,290,yellow
entei,290,brown
suicune,290,blue
larvitar,60,green
pupitar,144,gray
tyranitar,300,green
lugia,340,white
ho-oh,340,red
celebi,300,green
treecko,62,green
grovyle,142,green
sceptile,265,green
torchic,62,red
combusken,142,red
blaziken,265,red
mudkip,62,blue
marshtomp,142,blue
swampert,268,blue
poochyena,56,gray
mightyena,147,gray
zigzagoon,56,brown
linoone,147,white
wurmple,56,red
silcoon,72,white
beautifly,178,yellow
cascoon,72,purple
dustox,173,green
lotad,44,green
lombre,119,green
ludicolo,240,green
seedot,44,brown
nuzleaf,119,brown
shiftry,240,brown
taillow,54,blue
swellow,159,blue
wingull,54,white
pelipper,154,yellow
ralts,40,white
kirlia,97,white
gardevoir,259,white
surskit,54,blue
masquerain,159,blue
shroomish,59,brown
breloom,161,green
slakoth,56,brown
vigoroth,154,white
slaking,252,brown
nincada,53,gray
ninjask,160,yellow
shedinja,83,brown
whismur,48,pink
loudred,126,blue
exploud,245,blue
makuhita,47,yellow
hariyama,166,brown
azurill,38,blue
nosepass,75,gray
skitty,52,pink
delcatty,140,purple
sableye,133,purple
mawile,133,black
aron,66,gray
lairon,151,gray
aggron,265,gray
meditite,56,blue
medicham,144,red
electrike,59,green
manectric,166,yellow
plusle,142,yellow
minun,142,yellow
volbeat,151,gray
illumise,151,purple
roselia,140,green
gulpin,60,green
swalot,163,purple
carvanha,61,red
sharpedo,161,blue
wailmer,80,blue
wailord,175,blue
numel,61,yellow
camerupt,161,red
torkoal,165,brown
spoink,66,black
grumpig,165,purple
spinda,126,brown
trapinch,58,brown
vibrava,119,green
flygon,260,green
cacnea,67,green
cacturne,166,green
swablu,62,blue
altaria,172,blue
zangoose,160,white
seviper,160,black
lunatone,161,yellow
solrock,161,red
barboach,58,gray
whiscash,164,blue
corphish,62,red
crawdaunt,164,red
baltoy,60,brown
claydol,175,black
lileep,71,purple
cradily,173,green
anorith,71,gray
armaldo,173,gray
feebas,40,brown
milotic,189,pink
castform,147,gray
kecleon,154,green
shuppet,59,black
banette,159,black
duskull,59,black
dusclops,159,black
tropius,161,green
chimecho,159,blue
absol,163,white
wynaut,52,blue
snorunt,60,gray
glalie,168,gray
spheal,58,blue
sealeo,144,blue
walrein,265,blue
clamperl,69,blue
huntail,170,blue
gorebyss,170,pink
relicanth,170,gray
luvdisc,116,pink
bagon,60,blue
shelgon,147,white
salamence,300,blue
beldum,60,blue
metang,147,blue
metagross,300,blue
regirock,290,brown
regice,290,blue
registeel,290,gray
latias,300,red
latios,300,blue
kyogre,335,blue
groudon,335,red
rayquaza,340,green
jirachi,300,yellow
deoxys-normal,270,red
turtwig,64,green
grotle,142,green
torterra,236,green
chimchar,62,brown
monferno,142,brown
infernape,240,brown
piplup,63,blue
prinplup,142,blue
empoleon,239,blue
starly,49,brown
staravia,119,brown
staraptor,218,brown
bidoof,50,brown
bibarel,144,brown
kricketot,39,red
kricketune,134,red
shinx,53,blue
luxio,127,blue
luxray,262,blue
budew,56,green
roserade,258,green
cranidos,70,blue
rampardos,173,blue
shieldon,70,gray
bastiodon,173,gray
burmy,45,green
wormadam-plant,148,green
mothim,148,yellow
combee,49,yellow
vespiquen,166,yellow
pachirisu,142,white
buizel,66,brown
floatzel,173,brown
cherubi,55,pink
cherrim,158,purple
shellos,65,purple
gastrodon,166,purple
ambipom,169,purple
drifloon,70,purple
drifblim,174,purple
buneary,70,brown
lopunny,168,brown
mismagius,173,purple
honchkrow,177,black
glameow,62,gray
purugly,158,gray
chingling,57,yellow
stunky,66,purple
skuntank,168,purple
bronzor,60,green
bronzong,175,green
